
Image Name                     PID Session Name        Session#    Mem Usage
Code.exe                     44948 Console                    1     68,544 K
Code.exe                     20524 Console                    1     77,868 K
conhost.exe                  21716 Console                    1      6,776 K
pwsh.exe                     33964 Console                    1     89,208 K
Code.exe                     48460 Console                    1     77,560 K
Code.exe                      9004 Console                    1     71,772 K
python.exe                   31604 Console                    1      3,468 K
conhost.exe                  49232 Console                    1      6,644 K
python.exe                   52812 Console                    1      3,440 K
conhost.exe                  34464 Console                    1      6,648 K
python.exe                   53620 Console                    1     16,684 K
python.exe                   32936 Console                    1     13,572 K
Code.exe                      7484 Console                    1    213,932 K
msedge.exe                   35232 Console                    1     20,844 K
conhost.exe                  44704 Console                    1      7,328 K
pwsh.exe                     48804 Console                    1    117,460 K
Code.exe                      9104 Console                    1     77,504 K
Code.exe                     31392 Console                    1     75,616 K
Code.exe                     51300 Console                    1     80,108 K
svchost.exe                  17620 Services                   0     21,432 K
msedge.exe                   50976 Console                    1     31,728 K
svchost.exe                  10988 Services                   0     22,052 K
WmiApSrv.exe                 26384 Services                   0     10,876 K
SearchProtocolHost.exe       36956 Services                   0     14,056 K
python.exe                   39520 Console                    1      3,916 K
python.exe                   19808 Console                    1     35,264 K
backgroundTaskHost.exe        9140 Console                    1     20,644 K
cmd.exe                      36396 Console                    1      4,520 K
tasklist.exe                 16728 Console                    1      9,904 K
